algorithm,pareto_front_size,runtime_seconds,hypervolume_normalized,igd_vs_union_front,diversity_spacing_std,feasible_ratio,best_fuel,best_cost,best_ghg
NSGA-II,2,1.0963287353515625,0.983465,0.26616707179560367,0.0,1.0,183.54995321720975,104966.86967896814,577383.3916673476
MO-QIGA,4,0.1819322109222412,0.809985,0.23214150010555867,4.790161764288452e-18,1.0,194.06961552696902,119764.50295131057,610497.8919328409
QUBO-SA,2,2.464320421218872,0.01837,0.968600394597707,0.0,1.0,324.74748867463177,239177.85966171778,1033217.9911693933
MILP,4,0.5416991710662842,0.993755,0.25724693906536267,0.037083787122565895,1.0,181.88810172062014,104966.86967896814,574525.8221373677
