scenario,n_candidates,feasible_ratio,pareto_front_size,best_fuel,best_cost,best_ghg
baseline,252,0.6666666666666666,4,181.88810172062014,119805.70692651703,574525.8221373677
fuel_price_+30pct,252,0.6666666666666666,4,181.88810172062014,155747.41900447215,574525.8221373677
fuel_price_-30pct,252,0.6666666666666666,4,181.88810172062014,83863.99484856192,574525.8221373677
emission_factor_+50pct,252,0.6666666666666666,3,182.67294435301804,116365.75654552579,864920.3253926276
cargo_demand_+20pct,252,0.3333333333333333,3,187.0312740381941,123260.22718870152,590509.6701748937
tighter_deadline_-30pct,252,0.6666666666666666,4,181.88810172062014,119805.70692651703,574525.8221373677
