port_name,country,lat,lon,source_file,lat_lon_status,vessel_count_total
Al Basrah,Iraq,30.55796288,47.79778641,world_ports_master.csv,REAL,5
Sarroch Oil Terminal,Italy,39.08586095,9.013000658,world_ports_master.csv,REAL,649
Umm Qasr,Iraq,30.1137845,47.90182168,world_ports_master.csv,REAL,1943
Gaogang,China,32.31346734,119.8111009,world_ports_master.csv,REAL,1010
Ras Lanuf (Al Burayqah),Libya,30.40706634,19.59836261,world_ports_master.csv,REAL,67
Az Zawiyah,Libya,32.78550356,12.70000845,world_ports_master.csv,REAL,182
Latakia,Syria,35.52359965,35.77044914,world_ports_master.csv,REAL,189
Benghazi,Libya,32.1115254,20.04737392,world_ports_master.csv,REAL,526
Ez Zueitina,Libya,30.89542737,20.08311579,world_ports_master.csv,REAL,37
Eemshaven,The Netherlands,53.44141225,6.841979621,world_ports_master.csv,REAL,617
Khoms,Libya,32.67784227,14.24506823,world_ports_master.csv,REAL,249
Mellitah,Libya,32.85456191,12.23806372,world_ports_master.csv,REAL,55
New Haven,United States,41.27574662,-72.89315049,world_ports_master.csv,REAL,169
Marsa Tobruk,Libya,32.06112409,23.98421662,world_ports_master.csv,REAL,114
Tripoli,Libya,32.90465619,13.20058361,world_ports_master.csv,REAL,364
Nelson,New Zealand,-41.26122281,173.2760081,world_ports_master.csv,REAL,324
Palma de Mallorca,Spain,39.55412038,2.632705972,world_ports_master.csv,REAL,234
Acajutla,El Salvador,13.57544007,-89.82967226,world_ports_master.csv,REAL,661
Shui Dong,China,21.47648316,111.0730326,world_ports_master.csv,REAL,623
Savona,Italy,44.31020779,8.493827276,world_ports_master.csv,REAL,704
Acapulco,Mexico,16.84281811,-99.8724081,world_ports_master.csv,REAL,90
Koolan,Australia,-16.14294107,123.7504541,world_ports_master.csv,REAL,31
Sundaomen Wuz,China,38.05634359,118.0393478,world_ports_master.csv,REAL,117
Ålesund,Norway,62.4728339,6.154027256,world_ports_master.csv,REAL,929
Taganrog,Russian Federation,47.20266132,38.95006857,world_ports_master.csv,REAL,431
Gourd Shanzui,China,39.53469957,121.2982468,world_ports_master.csv,REAL,2148
Suzhou (Taicang),China,31.68751575,121.137616,world_ports_master.csv,REAL,8374
Harlingen,The Netherlands,53.1828773,5.428138301,world_ports_master.csv,REAL,248
Abbot Point,Australia,-19.89375525,148.0776204,world_ports_master.csv,REAL,366
Alvika,Norway,62.47917202,6.371692045,world_ports_master.csv,REAL,302
Tangshan (Jingtang),China,39.23528919,119.0212469,world_ports_master.csv,REAL,3492
Mackay,Australia,-21.10734084,149.222819,world_ports_master.csv,REAL,195
Tanjung Sangata,Indonesia,0.534994857,117.6428356,world_ports_master.csv,REAL,396
Tianjin Xin Gang,China,38.9397259,117.7336149,world_ports_master.csv,REAL,11678
New Orleans,United States,29.93003343,-90.13086772,world_ports_master.csv,REAL,5783
Altamira,Mexico,22.48409602,-97.88500212,world_ports_master.csv,REAL,1692
Weifang Port,China,37.26008605,119.0414526,world_ports_master.csv,REAL,982
Teluk Bayur,Indonesia,-1.021178175,100.3880034,world_ports_master.csv,REAL,1138
Coatzacoalcos,Mexico,18.12075961,-94.40048653,world_ports_master.csv,REAL,1148
Guangdong Yangjiang Port,China,21.69554902,111.8415794,world_ports_master.csv,REAL,576
Alger,Algeria,36.76668624,3.06628765,world_ports_master.csv,REAL,1075
Dos Bocas Terminal,Mexico,18.4321946,-93.18303296,world_ports_master.csv,REAL,108
New Plymouth,New Zealand,-39.0583807,174.0315698,world_ports_master.csv,REAL,264
Ensenada,Mexico,31.84956467,-116.6245993,world_ports_master.csv,REAL,365
Vladivostok,Russian Federation,43.09088665,131.8967883,world_ports_master.csv,REAL,4051
Weihai,China,37.45036229,122.2123773,world_ports_master.csv,REAL,868
Taranto,Italy,40.50043567,17.19039046,world_ports_master.csv,REAL,766
IJmuiden,The Netherlands,52.47671569,4.617278256,world_ports_master.csv,REAL,3079
Guaymas,Mexico,27.92331318,-110.8673642,world_ports_master.csv,REAL,400
Årdalstangen,Norway,61.2355915,7.709705946,world_ports_master.csv,REAL,202
Wenzhou,China,28.0006769,120.9135209,world_ports_master.csv,REAL,583
New York-New Jersey,United States,40.63298387,-74.17942126,world_ports_master.csv,REAL,3883
Lazaro Cardenas,Mexico,17.94425213,-102.1843711,world_ports_master.csv,REAL,1620
Xiagong,China,26.56552028,119.7215338,world_ports_master.csv,REAL,1613
Melbourne,Australia,-37.82817816,144.9175597,world_ports_master.csv,REAL,1962
Tg. Sorong,Indonesia,-0.876728719,131.2494015,world_ports_master.csv,REAL,254
Manzanillo,Mexico,19.05626745,-104.2876609,world_ports_master.csv,REAL,1875
Xiamen,China,24.46593394,118.0205536,world_ports_master.csv,REAL,7761
Rotterdam,The Netherlands,51.92228121,4.215144967,world_ports_master.csv,REAL,32584
Broome,Australia,-18.0005002,122.2067394,world_ports_master.csv,REAL,56
Xiuyu,China,25.16527891,118.9870449,world_ports_master.csv,REAL,2353
Guangxi Beibu Gulf Port,China,21.51087873,109.5385338,world_ports_master.csv,REAL,603
Annaba,Algeria,36.89622629,7.76762179,world_ports_master.csv,REAL,435
Mazatlan,Mexico,23.19306025,-106.41681,world_ports_master.csv,REAL,543
Ardal,Norway,59.14645139,6.170705035,world_ports_master.csv,REAL,139
