feature,gain_importance
Ship_SpeedThroughWater,58.4317741394043
Ship_SpeedOverGround,15.566033363342285
Weather_WindSpeed10M,2.3162920475006104
Weather_Temperature2M,1.9940617084503174
Environment_SeaFloorDepth,1.6580644845962524
Weather_DiffuseRadiation,1.2558048963546753
GenEngine_RM380_Count,0.7774446606636047
Weather_SwellWavePeakPeriod,0.6934996247291565
Weather_RelativeHumidity2M,0.5160323977470398
Weather_SwellWavePeriod,0.49574363231658936
Boiler_FuelType_RM380,0.4873374104499817
Weather_SunshineDuration,0.4550173878669739
Weather_WaveHeight,0.4093798100948334
Weather_WaveDirection,0.3998202681541443
Weather_DirectNormalIrradiance,0.3828296363353729
Weather_WindWavePeakPeriod,0.31104084849357605
Weather_ShortwaveRadiation,0.2591441869735718
Weather_DirectRadiation,0.25216105580329895
Weather_OceanCurrentDirection,0.24945154786109924
GenEngine_DM_Count,0.21891242265701294
Weather_WavePeriod,0.20347705483436584
Weather_SwellWaveHeight,0.20309729874134064
Weather_SwellWaveDirection,0.19770163297653198
Weather_SurfacePressure,0.19292284548282623
Weather_WindWavePeriod,0.18461522459983826
Ship_Heading,0.1790977120399475
Weather_WindWaveDirection,0.1460762619972229
Weather_WindGusts10M,0.14497196674346924
Weather_WindWaveHeight,0.14047406613826752
Weather_Precipitation,0.1275518387556076
Weather_WeatherCode,0.10722724348306656
Ship_Bearing,0.10165530443191528
Weather_OceanCurrentVelocity,0.0895284041762352
Weather_WindDirection10M,0.07185684144496918
